type,headline,url,date
Press Release,Justice Department and State of North Carolina Secure $13.5 Million Agreement with First National Bank of Pennsylvania to Resolve Redlining Claims in North Carolina,"https://www.justice.gov<a href=""/opa/pr/justice-department-and-state-north-carolina-secure-135-million-agreement-first-national-bank"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department and State of North Carolina Secure $13.5 Million Agreement with First National Bank of Pennsylvania to Resolve Redlining Claims in North Carolina</span>
</a>",2024-02-05
Press Release,Justice Department Secures Agreement with Alabama Landlord to Resolve Claims of Sexual Harassment of Female Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-alabama-landlord-resolve-claims-sexual-harassment"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Alabama Landlord to Resolve Claims of Sexual Harassment of Female Tenants</span>
</a>",2024-02-02
Press Release,New Jersey Man Pleads Guilty to Series of Violent Assaults on Members of the Orthodox Jewish Community,"https://www.justice.gov<a href=""/opa/pr/new-jersey-man-pleads-guilty-series-violent-assaults-members-orthodox-jewish-community"" rel=""bookmark"">
<span class=""field-formatter--string"">New Jersey Man Pleads Guilty to Series of Violent Assaults on Members of the Orthodox Jewish Community</span>
</a>",2024-02-01
Press Release,Justice Department Secures Agreement with Pennsylvania Courts to Resolve Lawsuit Concerning Discrimination Against People with Opioid Use Disorder,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-pennsylvania-courts-resolve-lawsuit-concerning"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Pennsylvania Courts to Resolve Lawsuit Concerning Discrimination Against People with Opioid Use Disorder</span>
</a>",2024-02-01
Press Release,Former D.C. Metro Transit Police Officer Sentenced for Federal Civil Rights Violation in Beating of Unarmed Transit Rider,"https://www.justice.gov<a href=""/opa/pr/former-dc-metro-transit-police-officer-sentenced-federal-civil-rights-violation-beating"" rel=""bookmark"">
<span class=""field-formatter--string"">Former D.C. Metro Transit Police Officer Sentenced for Federal Civil Rights Violation in Beating of Unarmed Transit Rider</span>
</a>",2024-01-31
Press Release,Hawaii Man Indicted on Multiple Civil Rights Charges Including Sex Trafficking,"https://www.justice.gov<a href=""/opa/pr/hawaii-man-indicted-multiple-civil-rights-charges-including-sex-trafficking"" rel=""bookmark"">
<span class=""field-formatter--string"">Hawaii Man Indicted on Multiple Civil Rights Charges Including Sex Trafficking</span>
</a>",2024-01-31
Press Release,Justice Department Secures Agreement with MedStar Health Inc. to Provide People with Disabilities Equal Access to Medical Care,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-medstar-health-inc-provide-people-disabilities-equal"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with MedStar Health Inc. to Provide People with Disabilities Equal Access to Medical Care</span>
</a>",2024-01-30
Press Release,Ohio Man Sentenced to 18 Years in Prison for Firebombing a Church that Planned to Host Drag Show Events,"https://www.justice.gov<a href=""/opa/pr/ohio-man-sentenced-18-years-prison-firebombing-church-planned-host-drag-show-events"" rel=""bookmark"">
<span class=""field-formatter--string"">Ohio Man Sentenced to 18 Years in Prison for Firebombing a Church that Planned to Host Drag Show Events</span>
</a>",2024-01-30
Press Release,Six Defendants Convicted of Federal Civil Rights Conspiracy and Freedom of Access to Clinic Entrances (FACE) Act Offenses for Obstructing Access to Reproductive Health Services in Tennessee,"https://www.justice.gov<a href=""/opa/pr/six-defendants-convicted-federal-civil-rights-conspiracy-and-freedom-access-clinic-entrances"" rel=""bookmark"">
<span class=""field-formatter--string"">Six Defendants Convicted of Federal Civil Rights Conspiracy and Freedom of Access to Clinic Entrances (FACE) Act Offenses for Obstructing Access to Reproductive Health Services in Tennessee</span>
</a>",2024-01-30
Press Release,Justice Department Secures Settlement Agreement with State of New York Executive Chamber to Resolve Sexual Harassment and Retaliation Claims Under Title VII,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-settlement-agreement-state-new-york-executive-chamber-resolve"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Settlement Agreement with State of New York Executive Chamber to Resolve Sexual Harassment and Retaliation Claims Under Title VII</span>
</a>",2024-01-26
Press Release,White Supremacist Group Member Convicted of Federal Hate Crime for Defacing Michigan Synagogue with Neo-Nazi Symbols,"https://www.justice.gov<a href=""/opa/pr/white-supremacist-group-member-convicted-federal-hate-crime-defacing-michigan-synagogue-neo"" rel=""bookmark"">
<span class=""field-formatter--string"">White Supremacist Group Member Convicted of Federal Hate Crime for Defacing Michigan Synagogue with Neo-Nazi Symbols</span>
</a>",2024-01-25
Press Release,Departments of Justice and Health and Human Services Issue Letter to State Medicaid Administrators Urging Coverage for Life-Saving Hepatitis C Medications,"https://www.justice.gov<a href=""/opa/pr/departments-justice-and-health-and-human-services-issue-letter-state-medicaid-administrators"" rel=""bookmark"">
<span class=""field-formatter--string"">Departments of Justice and Health and Human Services Issue Letter to State Medicaid Administrators Urging Coverage for Life-Saving Hepatitis C Medications</span>
</a>",2024-01-24
Press Release,Colorado Man Sentenced for Church Arson in Federal Hate Crime Case,"https://www.justice.gov<a href=""/opa/pr/colorado-man-sentenced-church-arson-federal-hate-crime-case"" rel=""bookmark"">
<span class=""field-formatter--string"">Colorado Man Sentenced for Church Arson in Federal Hate Crime Case</span>
</a>",2024-01-23
Press Release,Justice Department Secures Agreement with Oklahoma State Agency to Ensure Oklahoma Mobile Apps Are Accessible to People with Disabilities,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-oklahoma-state-agency-ensure-oklahoma-mobile-apps-are"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Oklahoma State Agency to Ensure Oklahoma Mobile Apps Are Accessible to People with Disabilities</span>
</a>",2024-01-22
Press Release,California Man Convicted of Sex Trafficking and Related Offenses for Forcing Victim to Engage in Commercial Sex Across the Country,"https://www.justice.gov<a href=""/opa/pr/california-man-convicted-sex-trafficking-and-related-offenses-forcing-victim-engage"" rel=""bookmark"">
<span class=""field-formatter--string"">California Man Convicted of Sex Trafficking and Related Offenses for Forcing Victim to Engage in Commercial Sex Across the Country</span>
</a>",2024-01-22
Press Release,Virginia Man and Woman Convicted of Forced Labor at Gas Station and Convenience Store for Multiple Years,"https://www.justice.gov<a href=""/opa/pr/virginia-man-and-woman-convicted-forced-labor-gas-station-and-convenience-store-multiple"" rel=""bookmark"">
<span class=""field-formatter--string"">Virginia Man and Woman Convicted of Forced Labor at Gas Station and Convenience Store for Multiple Years</span>
</a>",2024-01-22
Press Release,Justice Department Announces Successful Policies Overhaul at Michigan Department of Corrections to Expand Opportunities for Religious Exercise,"https://www.justice.gov<a href=""/opa/pr/justice-department-announces-successful-policies-overhaul-michigan-department-corrections"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Announces Successful Policies Overhaul at Michigan Department of Corrections to Expand Opportunities for Religious Exercise</span>
</a>",2024-01-18
Press Release,Justice Department Secures Agreement with Patriot Bank to Resolve Lending Discrimination Claims,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-patriot-bank-resolve-lending-discrimination-claims"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Patriot Bank to Resolve Lending Discrimination Claims</span>
</a>",2024-01-17
Press Release,Justice Department Sues Nevada to Protect Pension Rights of Military Servicemembers,"https://www.justice.gov<a href=""/opa/pr/justice-department-sues-nevada-protect-pension-rights-military-servicemembers"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Sues Nevada to Protect Pension Rights of Military Servicemembers</span>
</a>",2024-01-17
Press Release,Justice Department Announces Significant Milestone in Ongoing Policing Reforms for City of Baltimore and Baltimore Police Department,"https://www.justice.gov<a href=""/opa/pr/justice-department-announces-significant-milestone-ongoing-policing-reforms-city-baltimore"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Announces Significant Milestone in Ongoing Policing Reforms for City of Baltimore and Baltimore Police Department</span>
</a>",2024-01-16
Press Release,Colorado Resident Charged with Federal Hate Crimes and Firearm Offense Related to Mass Shooting at Club Q,"https://www.justice.gov<a href=""/opa/pr/colorado-resident-charged-federal-hate-crimes-and-firearm-offense-related-mass-shooting-club"" rel=""bookmark"">
<span class=""field-formatter--string"">Colorado Resident Charged with Federal Hate Crimes and Firearm Offense Related to Mass Shooting at Club Q</span>
</a>",2024-01-16
Press Release,Maryland Man Sentenced for Issuing Death Threats to LGBTQI+ Advocacy Group,"https://www.justice.gov<a href=""/opa/pr/maryland-man-sentenced-issuing-death-threats-lgbtqi-advocacy-group"" rel=""bookmark"">
<span class=""field-formatter--string"">Maryland Man Sentenced for Issuing Death Threats to LGBTQI+ Advocacy Group</span>
</a>",2024-01-11
Press Release,Justice Department Files Civil Rights Lawsuit Against Oklahoma Landlord for Sexually Harassing Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-civil-rights-lawsuit-against-oklahoma-landlord-sexually-harassing"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Civil Rights Lawsuit Against Oklahoma Landlord for Sexually Harassing Tenants</span>
</a>",2024-01-11
Press Release,North Carolina Man Convicted of Federal Hate Crimes for Racially Motivated Attacks Against Black and Hispanic Men,"https://www.justice.gov<a href=""/opa/pr/north-carolina-man-convicted-federal-hate-crimes-racially-motivated-attacks-against-black"" rel=""bookmark"">
<span class=""field-formatter--string"">North Carolina Man Convicted of Federal Hate Crimes for Racially Motivated Attacks Against Black and Hispanic Men</span>
</a>",2024-01-11
Press Release,Justice Department Observes National Human Trafficking Prevention Month,"https://www.justice.gov<a href=""/opa/pr/justice-department-observes-national-human-trafficking-prevention-month-0"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Observes National Human Trafficking Prevention Month</span>
</a>",2024-01-11
Press Release,Former Federal Bureau of Prisons Corrections Officer Pleads Guilty to Sexually Abusing Inmate in His Custody,"https://www.justice.gov<a href=""/opa/pr/former-federal-bureau-prisons-corrections-officer-pleads-guilty-sexually-abusing-inmate-his"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Federal Bureau of Prisons Corrections Officer Pleads Guilty to Sexually Abusing Inmate in His Custody</span>
</a>",2024-01-11
Press Release,Readout of Justice Department’s Interagency Convening on Advancing Equity in Artificial Intelligence,"https://www.justice.gov<a href=""/opa/pr/readout-justice-departments-interagency-convening-advancing-equity-artificial-intelligence"" rel=""bookmark"">
<span class=""field-formatter--string"">Readout of Justice Department’s Interagency Convening on Advancing Equity in Artificial Intelligence</span>
</a>",2024-01-11
Press Release,Former Oregon State Employee Pleads Guilty to Federal Civil Rights Charges After Violating Civil Rights of a Woman with Disabilities,"https://www.justice.gov<a href=""/opa/pr/former-oregon-state-employee-pleads-guilty-federal-civil-rights-charges-after-violating"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Oregon State Employee Pleads Guilty to Federal Civil Rights Charges After Violating Civil Rights of a Woman with Disabilities</span>
</a>",2024-01-09
Press Release,"Justice Department Releases Information on Efforts to Protect the Right to Vote, Prosecute Election Crimes, and Secure Elections","https://www.justice.gov<a href=""/opa/pr/justice-department-releases-information-efforts-protect-right-vote-prosecute-election-crimes"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Releases Information on Efforts to Protect the Right to Vote, Prosecute Election Crimes, and Secure Elections</span>
</a>",2024-01-09
Press Release,Justice Department Secures Agreement with Florida Housing Complexes for Discrimination Against Families with Children,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-florida-housing-complexes-discrimination-against"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with Florida Housing Complexes for Discrimination Against Families with Children </span>
</a>",2024-01-09
Press Release,Justice Department Advances Proposed Rule to Improve Access to Medical Care for People with Disabilities,"https://www.justice.gov<a href=""/opa/pr/justice-department-advances-proposed-rule-improve-access-medical-care-people-disabilities"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Advances Proposed Rule to Improve Access to Medical Care for People with Disabilities</span>
</a>",2024-01-09
Press Release,Justice Department Secures Agreement from Property Management Company and Landlord for Violating Servicemembers’ Rights,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-property-management-company-and-landlord-violating"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement from Property Management Company and Landlord for Violating Servicemembers’ Rights</span>
</a>",2024-01-08
Press Release,Justice Department Files Statement of Interest in Lawsuit Concerning Treatment for Gender Dysphoria in Correctional Settings,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-statement-interest-lawsuit-concerning-treatment-gender-dysphoria"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Statement of Interest in Lawsuit Concerning Treatment for Gender Dysphoria in Correctional Settings</span>
</a>",2024-01-08
Press Release,Justice Department Secures Agreement with City of Miami Beach to End Premature Medical Exams of Police Applicants,"https://www.justice.gov<a href=""/opa/pr/justice-department-secures-agreement-city-miami-beach-end-premature-medical-exams-police"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Secures Agreement with City of Miami Beach to End Premature Medical Exams of Police Applicants</span>
</a>",2024-01-03
